SKU,LOC,FECHA,UNI
Art03,LOC_045,01/04/2019,1
Art05,LOC_045,01/04/2019,1
Art08,LOC_045,01/04/2019,1
Art01,LOC_046,01/04/2019,3
Art02,LOC_046,01/04/2019,3
Art04,LOC_046,01/04/2019,1
Art05,LOC_046,01/04/2019,2
Art06,LOC_046,01/04/2019,1
Art09,LOC_046,01/04/2019,2
Art03,LOC_047,01/04/2019,1
Art10,LOC_047,01/04/2019,1
Art01,LOC_048,01/04/2019,3
Art06,LOC_048,01/04/2019,1
Art09,LOC_048,01/04/2019,2
Art10,LOC_048,01/04/2019,2
Art03,LOC_049,01/04/2019,2
Art05,LOC_049,01/04/2019,2
Art07,LOC_049,01/04/2019,2
Art08,LOC_049,01/04/2019,1
Art09,LOC_049,01/04/2019,1
Art01,LOC_050,01/04/2019,3
Art01,LOC_051,01/04/2019,3
Art02,LOC_051,01/04/2019,2
Art03,LOC_051,01/04/2019,2
Art05,LOC_051,01/04/2019,2
Art06,LOC_051,01/04/2019,1
Art09,LOC_051,01/04/2019,2
Art02,LOC_052,01/04/2019,2
Art03,LOC_052,01/04/2019,2
Art04,LOC_052,01/04/2019,1
Art06,LOC_052,01/04/2019,1
Art01,LOC_053,01/04/2019,1
Art02,LOC_054,01/04/2019,1
Art03,LOC_054,01/04/2019,1
Art04,LOC_054,01/04/2019,1
Art05,LOC_054,01/04/2019,1
Art06,LOC_054,01/04/2019,1
Art07,LOC_054,01/04/2019,1
Art06,LOC_055,01/04/2019,1
Art07,LOC_055,01/04/2019,2
Art09,LOC_055,01/04/2019,1
Art01,LOC_056,01/04/2019,3
Art02,LOC_056,01/04/2019,2
Art04,LOC_056,01/04/2019,1
Art05,LOC_056,01/04/2019,1
Art06,LOC_056,01/04/2019,1
Art10,LOC_056,01/04/2019,1
Art03,LOC_057,01/04/2019,1
Art02,LOC_058,01/04/2019,3
Art03,LOC_058,01/04/2019,1
Art06,LOC_058,01/04/2019,1
Art07,LOC_058,01/04/2019,1
Art08,LOC_058,01/04/2019,3
Art09,LOC_058,01/04/2019,1
Art10,LOC_058,01/04/2019,1
Art01,LOC_059,01/04/2019,3
Art02,LOC_059,01/04/2019,2
Art03,LOC_059,01/04/2019,1
Art04,LOC_059,01/04/2019,4
Art06,LOC_059,01/04/2019,6
Art08,LOC_059,01/04/2019,1
Art09,LOC_059,01/04/2019,1
Art10,LOC_059,01/04/2019,1
Art02,LOC_060,01/04/2019,2
Art03,LOC_060,01/04/2019,1
Art04,LOC_060,01/04/2019,1
Art05,LOC_060,01/04/2019,2
Art06,LOC_060,01/04/2019,1
Art07,LOC_060,01/04/2019,3
Art06,LOC_061,01/04/2019,1
Art02,LOC_062,01/04/2019,5
Art03,LOC_062,01/04/2019,3
Art05,LOC_062,01/04/2019,3
Art06,LOC_062,01/04/2019,1
Art07,LOC_062,01/04/2019,1
Art08,LOC_062,01/04/2019,3
Art09,LOC_062,01/04/2019,1
Art10,LOC_062,01/04/2019,1
Art01,LOC_063,01/04/2019,1
Art02,LOC_065,01/04/2019,1
Art06,LOC_065,01/04/2019,1
Art07,LOC_065,01/04/2019,1
Art08,LOC_065,01/04/2019,1
Art09,LOC_065,01/04/2019,2
Art07,LOC_066,01/04/2019,1
Art01,LOC_067,01/04/2019,1
Art02,LOC_067,01/04/2019,3
Art03,LOC_067,01/04/2019,1
Art04,LOC_067,01/04/2019,1
Art06,LOC_067,01/04/2019,2
Art07,LOC_067,01/04/2019,2
Art09,LOC_067,01/04/2019,1
Art10,LOC_067,01/04/2019,1
Art01,LOC_068,01/04/2019,5
Art03,LOC_068,01/04/2019,2
Art06,LOC_068,01/04/2019,2
Art08,LOC_068,01/04/2019,1
Art09,LOC_068,01/04/2019,1
Art02,LOC_069,01/04/2019,4
Art03,LOC_069,01/04/2019,2
Art05,LOC_069,01/04/2019,1
Art06,LOC_069,01/04/2019,1
Art02,LOC_070,01/04/2019,1
Art03,LOC_070,01/04/2019,2
Art04,LOC_070,01/04/2019,1
Art06,LOC_070,01/04/2019,2
Art07,LOC_070,01/04/2019,1
Art10,LOC_070,01/04/2019,1
Art02,LOC_071,01/04/2019,2
Art05,LOC_071,01/04/2019,1
Art06,LOC_071,01/04/2019,2
Art03,LOC_072,01/04/2019,1
Art05,LOC_072,01/04/2019,1
Art06,LOC_072,01/04/2019,1
Art08,LOC_072,01/04/2019,1
Art10,LOC_072,01/04/2019,2
Art01,LOC_073,01/04/2019,1
Art06,LOC_073,01/04/2019,1
Art07,LOC_073,01/04/2019,1
Art10,LOC_073,01/04/2019,2
Art01,LOC_074,01/04/2019,3
Art05,LOC_074,01/04/2019,2
Art06,LOC_074,01/04/2019,1
Art07,LOC_074,01/04/2019,4
Art08,LOC_074,01/04/2019,2
Art09,LOC_074,01/04/2019,2
Art02,LOC_075,01/04/2019,1
Art03,LOC_075,01/04/2019,1
Art05,LOC_075,01/04/2019,2
Art07,LOC_075,01/04/2019,2
Art10,LOC_075,01/04/2019,1
Art05,LOC_076,01/04/2019,1
Art09,LOC_076,01/04/2019,3
Art02,LOC_077,01/04/2019,2
Art05,LOC_077,01/04/2019,1
Art09,LOC_077,01/04/2019,1
Art02,LOC_078,01/04/2019,2
Art03,LOC_078,01/04/2019,1
Art06,LOC_078,01/04/2019,3
Art07,LOC_078,01/04/2019,1
Art08,LOC_078,01/04/2019,1
Art03,LOC_079,01/04/2019,1
Art06,LOC_079,01/04/2019,1
Art07,LOC_079,01/04/2019,2
Art03,LOC_080,01/04/2019,1
Art06,LOC_080,01/04/2019,2
Art09,LOC_080,01/04/2019,1
Art03,LOC_081,01/04/2019,2
Art02,LOC_082,01/04/2019,2
Art06,LOC_082,01/04/2019,2
Art09,LOC_082,01/04/2019,1
Art02,LOC_083,01/04/2019,4
Art03,LOC_083,01/04/2019,5
Art05,LOC_083,01/04/2019,1
Art06,LOC_083,01/04/2019,1
Art07,LOC_083,01/04/2019,2
Art08,LOC_083,01/04/2019,1
Art10,LOC_083,01/04/2019,1
Art02,LOC_084,01/04/2019,3
Art03,LOC_084,01/04/2019,3
Art04,LOC_084,01/04/2019,1
Art05,LOC_084,01/04/2019,4
Art06,LOC_084,01/04/2019,2
Art07,LOC_084,01/04/2019,2
Art08,LOC_084,01/04/2019,1
Art09,LOC_084,01/04/2019,3
Art10,LOC_084,01/04/2019,2
Art04,LOC_085,01/04/2019,1
Art01,LOC_086,01/04/2019,3
Art03,LOC_086,01/04/2019,2
Art09,LOC_086,01/04/2019,1
Art10,LOC_086,01/04/2019,1
Art01,LOC_087,01/04/2019,3
Art03,LOC_087,01/04/2019,1
Art02,LOC_088,01/04/2019,3
Art03,LOC_088,01/04/2019,3
Art04,LOC_088,01/04/2019,1
Art06,LOC_088,01/04/2019,3
Art07,LOC_088,01/04/2019,2
Art08,LOC_088,01/04/2019,2
Art10,LOC_088,01/04/2019,1
Art03,LOC_089,01/04/2019,1
Art04,LOC_089,01/04/2019,1
Art06,LOC_089,01/04/2019,1
Art07,LOC_089,01/04/2019,2
Art08,LOC_089,01/04/2019,1
Art10,LOC_089,01/04/2019,1
Art03,LOC_091,01/04/2019,2
Art03,LOC_093,01/04/2019,1
Art04,LOC_093,01/04/2019,2
Art07,LOC_093,01/04/2019,2
Art10,LOC_093,01/04/2019,1
Art01,LOC_094,01/04/2019,2
Art04,LOC_094,01/04/2019,1
Art08,LOC_094,01/04/2019,1
Art01,LOC_095,01/04/2019,3
Art04,LOC_095,01/04/2019,1
Art01,LOC_096,01/04/2019,4
Art02,LOC_096,01/04/2019,1
Art01,LOC_097,01/04/2019,2
Art02,LOC_097,01/04/2019,1
Art03,LOC_097,01/04/2019,1
Art10,LOC_097,01/04/2019,1
Art03,LOC_098,01/04/2019,1
Art05,LOC_098,01/04/2019,2
Art06,LOC_098,01/04/2019,1
Art04,LOC_099,01/04/2019,1
Art05,LOC_099,01/04/2019,1
Art06,LOC_099,01/04/2019,1
Art01,LOC_100,01/04/2019,3
Art06,LOC_100,01/04/2019,1
Art10,LOC_100,01/04/2019,1
Art06,LOC_101,01/04/2019,1
Art08,LOC_101,01/04/2019,1
Art06,LOC_102,01/04/2019,2
Art07,LOC_102,01/04/2019,1
Art03,LOC_103,01/04/2019,1
Art03,LOC_105,01/04/2019,1
Art08,LOC_105,01/04/2019,1
Art06,LOC_107,01/04/2019,2
Art10,LOC_108,01/04/2019,1
Art01,LOC_109,01/04/2019,2
Art05,LOC_110,01/04/2019,1
Art06,LOC_110,01/04/2019,4
Art07,LOC_110,01/04/2019,2
Art10,LOC_110,01/04/2019,1
Art01,LOC_111,01/04/2019,3
Art02,LOC_111,01/04/2019,1
Art04,LOC_111,01/04/2019,1
Art09,LOC_111,01/04/2019,1
Art02,LOC_112,01/04/2019,1
Art05,LOC_113,01/04/2019,1
Art09,LOC_114,01/04/2019,1
Art01,LOC_115,01/04/2019,3
Art02,LOC_115,01/04/2019,1
Art03,LOC_115,01/04/2019,3
Art08,LOC_115,01/04/2019,1
Art03,LOC_116,01/04/2019,3
Art09,LOC_116,01/04/2019,2
Art06,LOC_118,01/04/2019,1
Art01,LOC_119,01/04/2019,2
Art02,LOC_120,01/04/2019,2
Art04,LOC_120,01/04/2019,2
Art08,LOC_120,01/04/2019,1
Art10,LOC_120,01/04/2019,3
Art06,LOC_121,01/04/2019,3
Art09,LOC_121,01/04/2019,1
Art03,LOC_122,01/04/2019,1
Art03,LOC_123,01/04/2019,1
Art06,LOC_123,01/04/2019,1
Art01,LOC_124,01/04/2019,1
Art06,LOC_124,01/04/2019,1
Art03,LOC_126,01/04/2019,1
Art10,LOC_126,01/04/2019,1
Art01,LOC_127,01/04/2019,2
Art02,LOC_127,01/04/2019,1
Art05,LOC_127,01/04/2019,1
Art06,LOC_127,01/04/2019,2
Art08,LOC_127,01/04/2019,1
Art09,LOC_127,01/04/2019,2
Art10,LOC_127,01/04/2019,3
Art02,LOC_128,01/04/2019,1
Art04,LOC_128,01/04/2019,3
Art08,LOC_128,01/04/2019,1
Art02,LOC_129,01/04/2019,1
Art04,LOC_129,01/04/2019,2
Art05,LOC_129,01/04/2019,1
Art07,LOC_129,01/04/2019,1
Art08,LOC_130,01/04/2019,1
Art10,LOC_130,01/04/2019,1
Art03,LOC_131,01/04/2019,1
Art02,LOC_132,01/04/2019,3
Art07,LOC_132,01/04/2019,1
Art02,LOC_133,01/04/2019,1
Art03,LOC_134,01/04/2019,1
Art08,LOC_135,01/04/2019,1
Art10,LOC_135,01/04/2019,1
Art03,LOC_136,01/04/2019,1
Art09,LOC_136,01/04/2019,1
Art03,LOC_137,01/04/2019,2
Art04,LOC_137,01/04/2019,2
Art06,LOC_138,01/04/2019,1
Art03,LOC_139,01/04/2019,1
Art05,LOC_139,01/04/2019,1
Art06,LOC_139,01/04/2019,1
Art01,LOC_141,01/04/2019,1
Art01,LOC_142,01/04/2019,3
Art02,LOC_142,01/04/2019,1
Art03,LOC_143,01/04/2019,2
Art06,LOC_143,01/04/2019,1
Art07,LOC_143,01/04/2019,1
Art02,LOC_144,01/04/2019,1
Art03,LOC_144,01/04/2019,1
Art05,LOC_144,01/04/2019,2
Art06,LOC_144,01/04/2019,1
Art07,LOC_144,01/04/2019,2
Art09,LOC_144,01/04/2019,1
Art03,LOC_145,01/04/2019,1
Art10,LOC_145,01/04/2019,1
Art02,LOC_146,01/04/2019,2
Art06,LOC_146,01/04/2019,2
Art10,LOC_146,01/04/2019,3
Art02,LOC_147,01/04/2019,1
Art04,LOC_147,01/04/2019,1
Art06,LOC_147,01/04/2019,1
Art09,LOC_148,01/04/2019,1
Art06,LOC_149,01/04/2019,1
Art08,LOC_149,01/04/2019,1
Art08,LOC_150,01/04/2019,1
Art03,LOC_151,01/04/2019,1
Art02,LOC_152,01/04/2019,2
Art03,LOC_152,01/04/2019,2
Art05,LOC_152,01/04/2019,1
Art06,LOC_152,01/04/2019,2
Art06,LOC_153,01/04/2019,1
Art09,LOC_155,01/04/2019,1
Art01,LOC_156,01/04/2019,3
Art03,LOC_156,01/04/2019,2
Art04,LOC_156,01/04/2019,2
Art06,LOC_156,01/04/2019,1
Art10,LOC_156,01/04/2019,1
Art01,LOC_157,01/04/2019,1
Art02,LOC_157,01/04/2019,4
Art03,LOC_157,01/04/2019,7
Art05,LOC_157,01/04/2019,1
Art06,LOC_157,01/04/2019,2
Art07,LOC_157,01/04/2019,2
Art08,LOC_157,01/04/2019,2
Art01,LOC_158,01/04/2019,3
Art02,LOC_158,01/04/2019,4
Art03,LOC_158,01/04/2019,4
Art05,LOC_158,01/04/2019,4
Art08,LOC_158,01/04/2019,1
Art09,LOC_158,01/04/2019,1
Art10,LOC_158,01/04/2019,2
Art06,LOC_160,01/04/2019,2
Art09,LOC_160,01/04/2019,1
Art02,LOC_161,01/04/2019,1
Art03,LOC_161,01/04/2019,1
Art10,LOC_162,01/04/2019,1
Art02,LOC_163,01/04/2019,1
Art03,LOC_163,01/04/2019,3
Art05,LOC_163,01/04/2019,2
Art06,LOC_163,01/04/2019,2
Art07,LOC_163,01/04/2019,1
Art10,LOC_163,01/04/2019,2
Art02,LOC_164,01/04/2019,1
Art04,LOC_164,01/04/2019,1
Art08,LOC_164,01/04/2019,1
Art09,LOC_164,01/04/2019,1
Art08,LOC_165,01/04/2019,1
Art02,LOC_167,01/04/2019,1
Art03,LOC_167,01/04/2019,1
Art05,LOC_167,01/04/2019,1
Art09,LOC_167,01/04/2019,1
Art01,LOC_168,01/04/2019,3
Art03,LOC_168,01/04/2019,1
Art04,LOC_168,01/04/2019,4
Art05,LOC_168,01/04/2019,2
Art01,LOC_169,01/04/2019,3
Art02,LOC_169,01/04/2019,1
Art03,LOC_169,01/04/2019,1
Art04,LOC_169,01/04/2019,1
Art06,LOC_169,01/04/2019,1
Art09,LOC_169,01/04/2019,2
Art10,LOC_169,01/04/2019,1
Art01,LOC_170,01/04/2019,1
Art06,LOC_170,01/04/2019,2
Art02,LOC_171,01/04/2019,1
Art03,LOC_171,01/04/2019,3
Art09,LOC_171,01/04/2019,1
Art03,LOC_172,01/04/2019,1
Art04,LOC_172,01/04/2019,1
Art05,LOC_172,01/04/2019,2
Art06,LOC_172,01/04/2019,2
Art07,LOC_172,01/04/2019,2
Art09,LOC_172,01/04/2019,2
Art02,LOC_173,01/04/2019,1
Art03,LOC_174,01/04/2019,1
Art02,LOC_177,01/04/2019,4
Art08,LOC_177,01/04/2019,1
Art03,LOC_178,01/04/2019,1
Art08,LOC_178,01/04/2019,1
Art09,LOC_178,01/04/2019,1
Art03,LOC_180,01/04/2019,1
Art04,LOC_182,01/04/2019,1
Art01,LOC_184,01/04/2019,1
Art04,LOC_184,01/04/2019,1
Art07,LOC_184,01/04/2019,1
Art01,LOC_185,01/04/2019,5
Art02,LOC_185,01/04/2019,2
Art04,LOC_185,01/04/2019,2
Art06,LOC_185,01/04/2019,1
Art08,LOC_185,01/04/2019,2
Art10,LOC_185,01/04/2019,2
Art09,LOC_186,01/04/2019,1
Art10,LOC_186,01/04/2019,1
Art06,LOC_187,01/04/2019,1
Art02,LOC_188,01/04/2019,1
Art06,LOC_188,01/04/2019,2
Art07,LOC_189,01/04/2019,1
Art09,LOC_189,01/04/2019,1
Art02,LOC_190,01/04/2019,1
Art03,LOC_190,01/04/2019,1
Art08,LOC_190,01/04/2019,1
Art06,LOC_191,01/04/2019,1
Art08,LOC_191,01/04/2019,1
Art01,LOC_192,01/04/2019,2
Art02,LOC_193,01/04/2019,1
Art03,LOC_193,01/04/2019,1
Art06,LOC_193,01/04/2019,1
Art09,LOC_193,01/04/2019,1
Art03,LOC_194,01/04/2019,1
Art04,LOC_194,01/04/2019,1
Art01,LOC_196,01/04/2019,2
Art03,LOC_197,01/04/2019,2
Art04,LOC_197,01/04/2019,1
Art05,LOC_197,01/04/2019,2
Art07,LOC_197,01/04/2019,1
Art08,LOC_197,01/04/2019,3
Art10,LOC_197,01/04/2019,1
Art01,LOC_198,01/04/2019,1
Art07,LOC_198,01/04/2019,2
Art04,LOC_200,01/04/2019,2
Art07,LOC_200,01/04/2019,1
Art06,LOC_201,01/04/2019,1
Art02,LOC_202,01/04/2019,1
Art04,LOC_202,01/04/2019,1
Art05,LOC_202,01/04/2019,1
Art08,LOC_204,01/04/2019,1
Art02,LOC_205,01/04/2019,2
Art03,LOC_205,01/04/2019,3
Art05,LOC_205,01/04/2019,4
Art01,LOC_206,01/04/2019,9
Art04,LOC_208,01/04/2019,1
Art06,LOC_208,01/04/2019,1
Art07,LOC_209,01/04/2019,1
Art09,LOC_210,01/04/2019,1
Art02,LOC_211,01/04/2019,2
Art06,LOC_211,01/04/2019,1
Art01,LOC_212,01/04/2019,3
Art02,LOC_212,01/04/2019,4
Art03,LOC_212,01/04/2019,3
Art04,LOC_212,01/04/2019,1
Art05,LOC_212,01/04/2019,1
Art06,LOC_212,01/04/2019,1
Art07,LOC_212,01/04/2019,3
Art09,LOC_212,01/04/2019,1
Art10,LOC_212,01/04/2019,3
Art01,LOC_214,01/04/2019,2
Art02,LOC_214,01/04/2019,2
Art03,LOC_214,01/04/2019,1
Art04,LOC_214,01/04/2019,1
Art06,LOC_214,01/04/2019,1
Art06,LOC_215,01/04/2019,1
Art08,LOC_215,01/04/2019,2
Art09,LOC_216,01/04/2019,1
Art01,LOC_217,01/04/2019,3
Art02,LOC_217,01/04/2019,16
Art03,LOC_217,01/04/2019,21
Art05,LOC_217,01/04/2019,6
Art06,LOC_217,01/04/2019,21
Art07,LOC_217,01/04/2019,3
Art04,LOC_218,01/04/2019,2
Art05,LOC_218,01/04/2019,2
Art06,LOC_218,01/04/2019,2
Art08,LOC_218,01/04/2019,1
Art09,LOC_220,01/04/2019,1
Art03,LOC_221,01/04/2019,3
Art10,LOC_223,01/04/2019,1
Art01,LOC_225,01/04/2019,3
Art06,LOC_225,01/04/2019,1
Art08,LOC_225,01/04/2019,2
Art04,LOC_226,01/04/2019,1
Art06,LOC_226,01/04/2019,2
Art09,LOC_226,01/04/2019,1
Art06,LOC_227,01/04/2019,1
Art08,LOC_227,01/04/2019,1
Art10,LOC_227,01/04/2019,1
Art01,LOC_228,01/04/2019,1
Art02,LOC_228,01/04/2019,2
Art05,LOC_228,01/04/2019,1
Art06,LOC_228,01/04/2019,2
Art09,LOC_228,01/04/2019,1
Art01,LOC_229,01/04/2019,2
Art04,LOC_229,01/04/2019,3
Art06,LOC_230,01/04/2019,1
Art09,LOC_230,01/04/2019,1
Art10,LOC_230,01/04/2019,1
Art05,LOC_232,01/04/2019,2
Art01,LOC_233,01/04/2019,1
Art02,LOC_233,01/04/2019,1
Art05,LOC_233,01/04/2019,1
Art06,LOC_233,01/04/2019,1
Art07,LOC_233,01/04/2019,1
Art09,LOC_233,01/04/2019,1
Art01,LOC_234,01/04/2019,3
Art02,LOC_236,01/04/2019,1
Art10,LOC_236,01/04/2019,2
Art02,LOC_237,01/04/2019,1
Art01,LOC_238,01/04/2019,1
Art06,LOC_238,01/04/2019,1
Art08,LOC_238,01/04/2019,1
Art02,LOC_239,01/04/2019,1
Art05,LOC_239,01/04/2019,1
Art06,LOC_240,01/04/2019,1
Art09,LOC_240,01/04/2019,2
Art02,LOC_241,01/04/2019,1
Art03,LOC_241,01/04/2019,1
Art04,LOC_241,01/04/2019,1
Art05,LOC_241,01/04/2019,1
Art07,LOC_241,01/04/2019,1
Art08,LOC_241,01/04/2019,1
Art09,LOC_241,01/04/2019,1
Art02,LOC_242,01/04/2019,1
Art06,LOC_242,01/04/2019,1
Art10,LOC_242,01/04/2019,1
Art02,LOC_243,01/04/2019,3
Art03,LOC_243,01/04/2019,6
Art06,LOC_243,01/04/2019,2
Art03,LOC_244,01/04/2019,1
Art02,LOC_245,01/04/2019,1
Art03,LOC_245,01/04/2019,1
Art05,LOC_245,01/04/2019,1
Art06,LOC_245,01/04/2019,1
Art09,LOC_245,01/04/2019,2
Art10,LOC_245,01/04/2019,1
Art02,LOC_246,01/04/2019,4
Art03,LOC_246,01/04/2019,12
Art04,LOC_246,01/04/2019,3
Art05,LOC_246,01/04/2019,8
Art06,LOC_246,01/04/2019,9
Art07,LOC_246,01/04/2019,3
Art10,LOC_246,01/04/2019,4
Art04,LOC_247,01/04/2019,1
Art01,LOC_248,01/04/2019,1
Art06,LOC_248,01/04/2019,3
Art08,LOC_248,01/04/2019,1
Art10,LOC_248,01/04/2019,1
Art01,LOC_249,01/04/2019,1
Art06,LOC_249,01/04/2019,1
Art04,LOC_253,01/04/2019,1
Art06,LOC_253,01/04/2019,2
Art03,LOC_254,01/04/2019,1
Art01,LOC_257,01/04/2019,3
Art01,LOC_258,01/04/2019,3
Art04,LOC_258,01/04/2019,1
Art06,LOC_258,01/04/2019,1
Art09,LOC_258,01/04/2019,2
Art04,LOC_259,01/04/2019,1
Art07,LOC_259,01/04/2019,1
Art01,LOC_260,01/04/2019,1
Art02,LOC_260,01/04/2019,1
Art05,LOC_260,01/04/2019,2
Art09,LOC_260,01/04/2019,1
Art10,LOC_260,01/04/2019,1
Art03,LOC_261,01/04/2019,1
Art05,LOC_261,01/04/2019,1
Art07,LOC_261,01/04/2019,1
